ax,ay,az,gx,gy,gz,motion,gyro,label
-0.338,-1.434,-0.458,-25.391,107.056,97.778,1.543,147.194,1
-0.003,-0.874,-0.197,25.452,-76.050,-86.365,0.896,117.857,1
0.307,0.061,-1.112,33.203,-108.398,-14.465,1.156,114.289,1
0.137,-0.549,-1.299,-24.048,40.955,0.854,1.417,47.501,1
0.120,-0.626,-0.963,20.264,-47.302,-31.738,1.155,60.460,1
0.301,-0.263,-1.075,-8.484,-3.052,16.052,1.147,18.411,1
0.077,-0.819,-0.701,-15.564,68.848,68.298,1.081,98.219,1
-0.153,-1.288,-0.096,-12.756,32.776,2.502,1.301,35.260,1
0.233,-0.380,-0.671,19.531,-77.698,-59.326,0.805,99.690,1
0.020,-0.849,-0.546,11.169,29.175,64.209,1.010,71.405,1
-0.075,-0.979,-0.068,-4.333,-14.709,-80.261,0.985,81.713,1
0.238,-0.272,-0.377,7.690,-72.021,-48.279,0.522,87.046,1
0.203,-0.403,-1.250,-23.682,58.228,79.407,1.330,101.275,1
-0.307,-1.493,-0.343,5.371,3.052,-17.456,1.562,18.517,1
0.299,-0.328,-0.659,8.057,-40.222,-41.870,0.794,58.616,1
0.001,-0.914,-0.585,-3.967,49.377,80.017,1.085,94.110,1
-0.096,-1.166,-0.162,5.493,-27.710,-89.905,1.181,94.238,1
0.287,-0.276,-1.181,-18.005,0.854,1.831,1.247,18.118,1
-0.150,-1.032,-0.392,-13.367,57.556,54.321,1.114,80.263,1
-0.041,-0.911,-0.163,1.038,-27.710,-60.730,0.927,66.761,1
0.190,-0.452,-0.622,1.648,-30.762,7.996,0.792,31.827,1
0.174,-0.524,-0.975,-27.222,47.607,25.513,1.121,60.485,1
-0.169,-1.226,-0.280,-19.592,65.918,77.637,1.269,103.714,1
0.077,-0.714,-0.253,17.700,-68.726,-98.083,0.762,121.066,1
0.167,-0.620,-1.000,-21.423,81.299,88.501,1.188,122.069,1
-0.288,-1.450,-0.121,15.930,14.954,-49.072,1.483,53.717,1
0.162,-0.437,-0.777,27.832,-80.994,-70.862,0.906,111.158,1
0.109,-0.546,-1.066,-33.264,86.853,112.366,1.202,145.863,1
-0.279,-1.510,-0.148,21.851,24.292,-23.682,1.543,40.353,1
0.152,-0.503,-0.401,25.635,-83.740,-87.280,0.661,123.642,1
0.145,-0.581,-1.051,-3.174,16.235,77.209,1.210,78.962,1
0.068,-0.760,-0.672,-46.387,92.651,69.763,1.017,124.912,1
-0.304,-1.609,0.268,0.000,54.932,-14.221,1.659,56.743,1
0.254,-0.336,-0.793,34.607,-113.464,-96.497,0.898,152.916,1
-0.040,-0.833,-0.782,-22.156,108.093,111.450,1.143,156.832,1
-0.142,-1.057,-0.109,-0.916,-20.569,-88.623,1.073,90.983,1
0.203,-0.266,-1.037,23.437,-104.309,-15.686,1.090,108.054,1
0.166,-0.430,-1.244,-62.378,99.304,127.930,1.327,173.546,1
-0.481,-1.608,-0.041,45.776,46.509,-94.727,1.679,115.029,1
0.317,-0.138,-0.681,24.109,-99.976,-50.049,0.763,114.373,1
-0.258,-1.203,-0.662,-32.043,55.786,134.033,1.397,148.673,1
-0.139,-1.067,-0.113,50.171,-57.495,-96.924,1.082,123.357,1
0.285,-0.230,-0.693,7.080,-46.875,-49.316,0.784,68.407,1
0.260,-0.230,-1.022,-11.902,19.775,188.477,1.079,189.885,1
-0.381,-1.243,-0.451,23.315,-22.583,-125.427,1.376,129.559,1
0.416,-0.111,-0.863,-20.325,5.859,-0.671,0.965,21.163,1
-0.164,-1.222,-0.623,-11.719,24.353,73.914,1.381,78.700,1
-0.041,-0.877,-0.547,27.283,-40.222,-96.436,1.035,107.991,1
0.383,0.020,-0.702,-0.916,-1.282,11.841,0.800,11.945,1
-0.337,-1.583,-0.401,-5.859,31.372,66.772,1.667,74.007,1
0.268,-0.227,-1.028,-11.230,0.671,-80.322,1.087,81.106,1
0.177,-0.375,-0.861,-32.776,23.132,75.195,0.956,85.227,1
-0.344,-1.569,-0.255,-11.230,84.412,35.889,1.626,92.409,1
0.100,-0.675,-0.276,18.982,-51.514,-105.774,0.736,119.173,1
0.166,-0.511,-0.896,1.831,24.963,107.239,1.045,110.121,1
-0.396,-1.319,-0.357,16.174,-42.297,-99.731,1.423,109.531,1
0.289,-0.375,-0.584,-41.687,40.222,93.079,0.752,109.632,1
-0.421,-1.281,-0.304,24.841,-35.645,-81.604,1.382,92.449,1
0.429,0.096,-0.949,-11.536,21.240,-23.071,1.046,33.414,1
-0.541,-1.641,-0.246,4.639,30.212,19.775,1.745,36.406,1
0.215,-0.345,-0.898,25.330,-67.200,-84.412,0.986,110.827,1
-0.116,-0.782,-0.840,-0.610,87.463,111.328,1.154,141.577,1
-0.341,-1.451,0.036,57.190,-6.714,-40.405,1.491,70.345,1
-0.135,-0.553,-0.439,45.532,-122.681,-116.638,0.719,175.295,1
0.148,-0.164,-1.206,9.949,-31.311,-27.222,1.226,42.666,1
-0.160,-0.762,-0.736,-22.766,91.064,106.140,1.072,141.692,1
-0.497,-1.179,-0.272,1.526,-45.044,-103.760,1.308,113.125,1
0.176,-0.073,-0.889,2.747,-39.673,3.967,0.909,39.965,1
-0.169,-0.689,-0.750,-22.095,46.143,84.717,1.033,98.966,1
